cruise,station,cast,sample_name,dateUTC_yymmdd,time_start_UTC,time_end_UTC,lat_start,lon_start,depth_bottom,depth_target,avg_angle,depth_TDR,max_wire_out_m,wire_rate_out_m_min,wire_rate_in_m_min,ship_speed_kts,flowmeter_sn_335,flow_start_335,flow_end_335,tot_flow_counts_335,vol_filtered_m3_335,NOAA_335,DNA_335,flowmeter_sn_150,flow_start_150,flow_end_150,tot_flow_counts_150,vol_filtered_m3_150,morph_ID_150,DNA_150,size_fract_150,taxa_pick_150,EtOHchanged,comments
AR99,L1,2,AR99_L1_B2,260113,18:56,19:03,41.194552,-70.883411,22,17,45,12.5,24,20,6,2,29914,143365,161252,17887,140.4763706,Y,Y,29913,448411,451090,2679,21.03964872,Y,Y,Y,Y,Y,lost ~5mL of sample for 150 um net; flowmeter for 150 um net is off; not ring net
AR99,L2,3,AR99_L2_B3,260114,05:09,05:18,41.027763,-70.889529,44,39,40,39,54,30,13,2,29914,161312,187896,26584,208.7786568,Y,Y,29913,451134,459022,7888,61.94876787,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; vertical ring net tow
AR99,L3,18,AR99_L3_B18,260116,23:22,23:32,40.861826,-70.883717,55,50,65,41,61,30,17,2,29914,478880,506043,27163,213.3258598,N,N,29913,570402,582870,12468,97.91800682,Y,Y,Y,Y,Y,"Px sensor used; flowmeter for 150 um net is off; no ring net; 335um cod end broke off into the ocean during recovery, so no sample"
AR99,L4,17,AR99_L4_B17,260116,20:56,21:04,40.692016,-70.902861,66,62,25,57,68,30,20,2,29914,446738,467333,20595,161.7437721,Y,Y,29913,562198,568770,6572,51.61350183,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; no ring net
AR99,L5,4,AR99_L5_B4,260114,10:02,10:14,40.511452,-70.88251,78,70,40,62,91,30,20,2,29914,187906,224468,36562,287.1413351,Y,Y,29913,459014,477677,18663,146.570722,Y,Y,Y,Y,Y,"the bottom depth was 75m when I first looked, but changed to 78 during deployment; Pxsensor used; flowmeter for 150 um net is off; no ring net"
AR99,L6,10,AR99_L6_B10,260115,21:53,22:04,40.367626,-70.88609,92,87,40,83,108,30,20,2,29914,411916,446787,34871,273.8609894,Y,Y,29913,548056,562172,14116,110.86065,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; vertical ring net tow
AR99,L7,19,AR99_L7_B19,260117,04:00,04:18,40.25483,-70.892294,122,117,45,112,170,30,20,2,29914,506660,561872,55212,433.6099609,Y,Y,29913,583630,604464,20834,163.6207695,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; no ring net
AR99,L8,20,AR99_L8_B20,260117,08:20,08:37,40.150914,-70.881776,138,1333,45,131,188,30,20,2,29914,561879,603035,41156,323.2205237,Y,Y,29913,604485,621958,17473,137.2250027,Y,Y,Y,Y,Y,"Pxsensor used; flowmeter for 150 um net is off; no ring net; 335um net had a leak, so some sample might have been lost"
AR99,L9,5,AR99_L9_B5,260114,22:40,23:03,40.041655,-70.883125,208,200,45,197,265,30,20,2,29914,224477,277914,53437,419.6699174,Y,Y,29913,477673,479434,1761,13.83009384,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; vertical ring net tow
AR99,L10,6,AR99_L10_B6,260115,01:05,01:32,39.935228,-70.882768,456,200,50,187,250,30,20,2,29914,277914,339795,61881,485.9852567,Y,Y,29913,479436,505267,25831,202.864937,Y,Y,Y,Y,Y,"Pxsensor used; flowmeter for 150 um net is off; 150um: one small jellyfish for isotope sample, but didn't fit in the tube; no ring net"
AR99,L11,9,AR99_L11_B9,260115,11:39,12:04,39.77074,-70.884039,1578,200,45,192.7,270,30,20,2,29914,339816,411911,72095,566.2013717,Y,Y,29913,505267,548055,42788,336.0375101,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; Pxsensor data did not record for some reason; no ring net
AR99,MVCO,24,AR99_MVCO_B24,260118,09:20,09:29,41.31432,-70.573091,19,14,45,8,20,17,5,2,29914,603042,623351,20309,159.4976581,Y,Y,29913,621970,623501,1531,12.02377835,Y,Y,Y,Y,,flowmeter for 150 um net is off; no ring net; no Pxsenor used
